gene_id	normalized_count	barcode	tissue_type
ABCG8|64241	2435.2617	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABHD10|55347	965.5647	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABHD11|83451	342.9752	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABHD12B|145447	1.3774	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABHD12|26090	1232.7824	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABHD13|84945	522.0386	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABHD14A|25864	501.3774	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABHD14B|84836	5331.9559	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABHD15|116236	1052.3416	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABHD1|84696	96.4187	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABHD2|11057	10699.7245	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABHD3|171586	626.7218	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABHD4|63874	625.3444	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABHD5|51099	706.6116	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABHD6|57406	1151.5152	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABHD8|79575	662.5344	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABI1|10006	800.2755	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABI2|10152	446.2810	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABI3BP|25890	309.9174	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABI3|51225	398.0716	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABL1|25	1012.3967	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABL2|27	348.4848	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABLIM1|3983	966.9421	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABLIM2|84448	50.9642	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABLIM3|22885	1604.6832	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABO|28	6.8871	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABP1|26	780.9917	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABRA|137735	0.0000	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABR|29	626.7218	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABT1|29777	732.7824	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABTB1|80325	949.0358	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABTB2|25841	402.2039	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACAA1|30	15964.1873	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACAA2|10449	12245.1791	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACACA|31	735.5372	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACACB|32	5005.5096	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACAD10|80724	1870.5234	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACAD11|84129	3110.1928	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACAD8|27034	891.1846	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACAD9|28976	1224.5041	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACADL|33	588.1543	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACADM|34	4814.0496	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACADSB|36	16326.4463	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACADS|35	9117.0799	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACADVL|37	20623.9669	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACAN|176	6.8871	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACAP1|9744	296.1433	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACAP2|23527	588.1543	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACAP3|116983	931.1295	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACAT1|38	15896.6942	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACAT2|39	3515.3581	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACBD3|64746	746.5565	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACBD4|79777	2219.0083	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACBD5|91452	2330.5785	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACBD6|84320	293.3884	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACBD7|414149	8.2645	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACCN1|40	9.6419	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACCN2|41	17.9063	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACCN3|9311	5.5096	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACCN4|55515	0.0000	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACCN5|51802	0.0000	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACCSL|390110	0.0000	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACCS|84680	571.6253	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACD|65057	245.1791	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACE2|59272	45.4545	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACER1|125981	1.3774	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACER2|340485	22.0386	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACER3|55331	137.7410	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACE|1636	212.1212	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACHE|43	107.4380	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACIN1|22985	2006.8871	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACLY|47	1134.9862	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACMSD|130013	1798.8981	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACN9|57001	195.5923	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACO1|48	5331.9559	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACO2|50	3151.4463	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACOT11|26027	13.5124	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACOT12|134526	2581.2672	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACOT13|55856	1982.2176	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACOT1|641371	3117.0799	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACOT2|10965	2123.9669	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACOT4|122970	282.3691	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACOT6|641372	39.9449	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACOT7|11332	960.0551	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACOT8|10005	516.0468	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACOT9|23597	395.3168	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACOX1|51	8164.5730	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACOX2|8309	5426.9972	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACOX3|8310	951.7906	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACOXL|55289	1.3774	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACP1|52	1931.1295	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACP2|53	2045.4545	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACP5|54	1874.6556	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACP6|51205	418.7328	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACPL2|92370	154.2700	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACPP|55	5.5096	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACPT|93650	0.0000	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACRBP|84519	27.5482	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACRC|93953	15.1515	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACRV1|56	1.3774	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACR|49	20.6612	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACSBG1|23205	0.0000	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACSBG2|81616	0.0000	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACSF2|80221	1856.7493	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACSF3|197322	680.4408	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
